【python吧吧友交流群(禁广)：97795387 】,https://tieba.baidu.com/p/6417101724,fthief,13
【入吧必看】Python吧导航及吧规帖,https://tieba.baidu.com/p/6417003283,caihuyougui,6
萌新求问anaconda安装不了第三方库该怎么办,https://tieba.baidu.com/p/6571690032,crazylucky327,0
大佬救我啊!,https://tieba.baidu.com/p/6571695226,贴吧用户_...,0
收徒 零基础小白转行python学习找到好工作全套资料免费分享,https://tieba.baidu.com/p/6571410540,SYEgcj134,1
坑input,https://tieba.baidu.com/p/6552635991,zhengtao94364,20
萌新求助：通过Json获得的这些数据要用什么代码才能把它按照,https://tieba.baidu.com/p/6571625930,5061617314,2
有想要python学习资料的小伙伴可以留下你们的邮箱📪,https://tieba.baidu.com/p/6571475683,宝子897,4
python小白一只，刚做书上练习题，怎么也做不出来求帮助，,https://tieba.baidu.com/p/6571542069,2020神仙姐,6
大家看一下 我对照着原视频写，为什么还会出错。报错的地方我感,https://tieba.baidu.com/p/6570976011,来自未来...,2
每日学习打卡贴  一天至少一小时学习Python,https://tieba.baidu.com/p/6499299865,huasheng射手,77
分享：一个集学习、编程、操控、交流于一体的小车乐园,https://tieba.baidu.com/p/6571601365,小龟是个...,0
安装pygame  安装失败，怎么解？,https://tieba.baidu.com/p/6571040107,Liang汉武,2
千万不要去Python培训机构，特别是零基础的,https://tieba.baidu.com/p/6062880305,达官显贵6...,64
代理ip为什么不可用？,https://tieba.baidu.com/p/6571619598,射手woshinib11,0
想用python写个自动发贴功能，遇到了问题，请大老指点一下,https://tieba.baidu.com/p/6571542278,penghuajunsem,3
有谁会这些啊？我做的脑袋发晕 有好心人吗,https://tieba.baidu.com/p/6571353782,一篮樱桃e,5
复制代码到idle不分段怎么解决,https://tieba.baidu.com/p/6569640152,587466877ffdd,2
求大佬救急！！！python通过pyamf如何构建Externalize Object,https://tieba.baidu.com/p/6570502005,qwe20061234,3
请教一下pip换源了不加sudo可以，加sudo就变回官方的,https://tieba.baidu.com/p/6571476017,吃一个大...,2
python开发工具用哪个啊，类似于java的idea,https://tieba.baidu.com/p/5896600048,木子李vim,12
准备进军python敢问先有点什么基础才容易懂容易学呢,https://tieba.baidu.com/p/6560584519,呜呜呜呵1,31
有同学会写这几个题嘛？拜托拜托🙏🏻拜托,https://tieba.baidu.com/p/6562878633,眉首_,9
大佬们都是用什么软件开发的，本人纯小白还有怎么学的吗？,https://tieba.baidu.com/p/6569278397,羔羊似水,6
大神们，pycharm怎么用啊？求教,https://tieba.baidu.com/p/6571324324,薛定谔不...,1
请问这个京东爬虫加上筛选货号的代码怎么加？我想筛选包含8位数,https://tieba.baidu.com/p/6570809055,安思屹,6
傻萌不懂为什么我的mac版idle没有选项栏呀,https://tieba.baidu.com/p/6555608508,东瀛放狗,3
初学的小白求教！！,https://tieba.baidu.com/p/625459524,34chenhanlin,395
这为什么是无限循环，百思不得其解,https://tieba.baidu.com/p/6569353816,江米贵,7
新手学python 用什么开发环境好？,https://tieba.baidu.com/p/6570683055,FV4005H,3
中公优就业IT培训，快来观看呀,https://tieba.baidu.com/p/6561856338,小花cat,1
大学Python作业，求大佬解答！,https://tieba.baidu.com/p/6568119698,森林的呼...,9
求助，想做天气可视化地图，用什么比较好，pyechart可以,https://tieba.baidu.com/p/6570755366,雨你无瓜,1
python免费学习交流群,https://tieba.baidu.com/p/6571458368,1234chenhai,0
萌新请教，代码是否可以重复执行，两者互不干扰的那种,https://tieba.baidu.com/p/6571410661,奈何一笑,0
风变编程Python 小课 零基础入门用过还不错的 基础加爬,https://tieba.baidu.com/p/6571341563,IT课程之...,0
各位大神，请问requests模块是这里找吗,https://tieba.baidu.com/p/6571233631,薛定谔不...,15
求大神带我！已知字符串s='苹果:12个;梨:20个;桔子:,https://tieba.baidu.com/p/6553471927,MJUSTT,8
本人小白自学，没有题写,https://tieba.baidu.com/p/6560600341,py劝退员,51
初学者，用的python 3.7，这段代码怎么简化一下啊，谢谢各位大佬,https://tieba.baidu.com/p/6570366559,我去送人...,5
python练习好平台,https://tieba.baidu.com/p/6320169042,小龟是个...,1
跪求大神，大佬们了能不能帮忙小妹我做做毕设（开发网站呜呜呜呜,https://tieba.baidu.com/p/6569871925,小毛球,23
自己用PY3做了一个下载器最近更新实在不会写了帮帮我啊啊啊啊！,https://tieba.baidu.com/p/6570727747,babyshaoshao12,7
各位大神，请问，我是在导入PDF时报错的，我需要怎么解决，看,https://tieba.baidu.com/p/6571291950,抠脚老汉h...,1
问问可爱吧友，这道Python题怎么做，感激不尽,https://tieba.baidu.com/p/6405512037,巡音LuKaの,8
我想用visual studio上面写python 但是安装的时候一直卡着,https://tieba.baidu.com/p/6571000150,烟烟烟灬雨,5
请问有没有帮做Python 毕设的，我这里已经有了一套代码，,https://tieba.baidu.com/p/6550283380,祝一切安...,7
老哥们，遇到了问题在这个网址里，把里面的var index_,https://tieba.baidu.com/p/6571229615,樱桃沟的...,0
有没有小伙伴0基础的   一起学！,https://tieba.baidu.com/p/6570763246,活人day,3
【求助】想编写关于分析基因重复序列的程序,https://tieba.baidu.com/p/6069090111,souls艹舞,4
有没有一起学习python的，一起学习的，自己实在很无聊,https://tieba.baidu.com/p/6568610997,侵她城做...,5
图中函数为什么要赋值给一个变量才能显示,https://tieba.baidu.com/p/6570398036,LoshorizoN,4
萌新请教一道题,https://tieba.baidu.com/p/6571011586,月光照亮...,4
关于编码的问题，求大佬回答,https://tieba.baidu.com/p/6570062621,然而198,1
萌新关于tkinter输入框的一个问题，还望大佬们指教，蟹蟹。,https://tieba.baidu.com/p/6571007870,体会理解...,0
第一次接触，老师直接给要求，不会啊,https://tieba.baidu.com/p/6570949291,BBas的公举,1
萌新不懂就问，为什么安装好了pandas库却还是报错？,https://tieba.baidu.com/p/6570929232,d的奇思...,7
编程新人，求助几道算法题的答案，来自coderbyte。一最,https://tieba.baidu.com/p/6570992073,wenda14789,0
小白请教一个匪夷所思的问题。关于print输出list乱码问题,https://tieba.baidu.com/p/6570742771,柳絮_情...,4
"小白求助，刚学python,老师留个作业，求助",https://tieba.baidu.com/p/6570838216,枕梦一生,4
有个需求，请大神指点，或者给点参考意见,https://tieba.baidu.com/p/6569745415,经理哥哥,3
一个网页有签到功能，签到的币能够购买一些文章，付费之后隐藏的,https://tieba.baidu.com/p/6570623065,囍ii,3
有没有什么出名的第三方下载器？,https://tieba.baidu.com/p/6570781364,_Null丶,2
安装scrapy为什么会失败呀,https://tieba.baidu.com/p/6545534390,贴吧用户_...,5
有木有人会用python绘制四维矩阵图呀（三维热点矩阵）解决,https://tieba.baidu.com/p/6419716954,侯苗苗1023,1
