标题,链接,内容,发布时间,来源
中共中央政治局常务委员会召开会议 习近平主持,http://politics.people.com.cn//n1/2020/0408/c1024-31666305.html,中共中央政治局常务委员会召开会议	分析国内外新冠肺炎疫情防控和经济运行形势	研究部署落实常态化疫情防控举措全面推进复工复产工作	中共中央总书记习近平主持会议	新华社北京4月8日电 中共中央政治局常务委员会4月8日召开会议，听取新冠肺炎疫情防控工作和全国复工复产情况调研汇报，分析国内外疫情防控和经济运行形势，研究部署落实常态化疫情防控举措、全面推进复工复产工作。中共中央总书记习近平主持会议并发表重要讲话。	习近平指出，当前我国疫情防控阶段性成效进一步巩固，复工复产取得重要进展，经济社会运行秩序加快恢复。同时，国际疫情持续蔓延，世界经济下行风险加剧，不稳定不确定因素显著增多。我国防范疫情输入压力不断加大，复工复产和经济社会发展面临新的困难和挑战。面对严峻复杂的国际疫情和世界经济形势，我们要坚持底线思维，做好较长时间应对外部环境变化的思想准备和工作准备。要统筹推进疫情防控和经济社会发展工作，外防输入、内防反弹防控工作决不能放松，经济社会发展工作要加大力度。要坚持在常态化疫情防控中加快推进生产生活秩序全面恢复，抓紧解决复工复产面临的困难和问题，力争把疫情造成的损失降到最低限度，确保实现决胜全面建成小康社会、决战脱贫攻坚目标任务。	习近平强调，要密切关注国际国内疫情形势变化，全面落实外防输入、内防反弹，及时采取更有针对性和实效性的防控措施，继续抓紧抓实抓细各项防控工作。要巩固重点地区疫情防控成效。湖北省和武汉市要继续集中力量做好重症病例科学精准救治，及时做好出院患者随访和复查工作。要优化社区管控措施，筑牢社区防控安全屏障。各地特别是环鄂省份要加强信息沟通共享和防控措施协调，在人员管控、健康码互认等方面要做到政策统一、标准一致。要持续抓好首都疫情防控工作。各地要抓好无症状感染者精准防控，把疫情防控网扎得更密更牢，堵住所有可能导致疫情反弹的漏洞。	会议要求，加强陆海口岸疫情防控，加快补齐外防输入的薄弱环节。加大对边境城市疫情防控人员和物资保障力度，协调解决好在卫生检疫、防疫物资、医护力量、隔离条件等方面遇到的困难。要严格落实对所有入境人员都实施14天集中隔离的要求，最大限度减少境外输入关联本地病例。要深入开展疫情防控国际合作，积极为国际防疫合作贡献力量。	会议指出，当前我国经济发展面临的困难加大。各级党委和政府要增强紧迫感，因地制宜、因时制宜优化完善疫情防控举措，千方百计创造有利于复工复产的条件，不失时机畅通产业循环、市场循环、经济社会循环。要加大复工复产政策落实力度，加强对困难行业和中小微企业扶持，着力扩大国内需求，有序推动各类商场、市场复工复市，促进生活服务业正常经营，积极扩大居民消费，加快推进投资项目建设，形成供需良性互动。	会议要求，加强保障和改善民生工作。我国农业连年丰收，粮食储备充裕，完全有能力保证粮食和重要农产品供给。要抓好春季农业生产，加强粮食市场价格监测和监管，继续做好猪肉、果蔬等副食品生产流通组织，保障市场供应和价格基本稳定。要强化对困难群体基本生活保障，适当提高城乡低保、抚恤补助等保障标准，把因疫情和患病陷入困境的人员纳入救助范围，对受疫情影响严重地区发放临时生活补贴，相关价格补贴联动机制要及时启动。扩大失业保险覆盖范围，更好保障失业人员基本生活。	会议强调，要抓实安全风险防范各项工作。生命至上，安全第一。各地区各部门要压实安全生产主体责任，全面做好安全生产和森林草原防火、防汛抗旱等防灾减灾工作。要深入排查各类安全隐患，完善各类应急预案，提高应急处置能力，确保人民群众生命和财产安全。	会议还研究了其他事项。                (责编：杨光宇、曹昆),2020年04月08日19:47  来源：,新华社
李克强同荷兰首相吕特通电话,http://politics.people.com.cn//n1/2020/0408/c1024-31664768.html,本报北京4月7日电  国务院总理李克强4月7日下午应约同荷兰首相吕特通电话。　　李克强表示，当前中荷都面临新冠肺炎疫情挑战。中方愿同包括荷兰在内的国际社会加强合作，做好疫情防控，共同维护全球公共卫生安全。疫情期间，两国政府和人民相互支持和帮助。中方愿为荷方通过商业渠道从中国采购和运输急需的医疗物资提供便利，将继续严把出口产品质量关。希望荷方切实保障在荷中国公民特别是留学生的安全和生活便利。　　李克强指出，中荷都支持自由贸易。在当前加强抗击疫情合作的同时，双方应当共同努力维护全球产业链、供应链稳定和安全，保障国际货物运输畅通。　　吕特表示，感谢中方对荷方抗击疫情给予的支持和便利，这体现了双方肩并肩共克时艰的友好情谊。荷兰对中国生产的防疫物资质量有充分信心，将保障好在荷中国公民的安全便利。荷方愿继续同中方加强合作，推动两国关系持续发展。　　王毅、何立峰参加上述活动。　　《 人民日报 》（ 2020年04月08日   02 版）                (责编：白宇、岳弘彬),2020年04月08日05:33  来源：,人民网－人民日报
习近平同南非总统拉马福萨通电话,http://politics.people.com.cn//n1/2020/0409/c1024-31666396.html,新华社北京4月8日电  国家主席习近平8日晚同南非总统拉马福萨通电话。　　习近平指出，中国发生新冠肺炎疫情后，南非政府和社会各界以多种形式对中方表达慰问和支持。“同志加兄弟”是我们两国两党特殊友好关系的标志。中方坚定支持南非抗击疫情努力，愿根据南非需求，继续提供力所能及的帮助，同南非分享防控经验，加强医疗卫生领域合作。相信在总统先生领导下，南非政府采取一系列应对举措会取得积极成效。我们鼓励中国在南非侨民积极支持配合南非抗疫行动，希望南非政府高度重视并维护好他们生命安全和身体健康以及合法权益。中方愿同南非增进政治互信，在涉及彼此核心利益和重大关切问题上相互理解、相互支持，推动双边合作取得积极进展，加强在金砖国家、二十国集团等框架内合作。　　习近平强调，中国和非洲是患难与共的好兄弟。中方密切关注非洲疫情形势，向非洲联盟和所有建交非洲国家分批提供了抗疫物资援助，双方专家开展多次视频交流，许多中国企业、地方、民间机构也积极提供抗疫物资支持。中方愿继续向非洲国家提供支持，加快推进非洲疾控中心建设，加强中非公共卫生和疾病防控合作，助力非洲提升疾病防控能力。国际社会应该秉持人类命运共同体理念，加强团结、协调、合作，坚决遏制疫情蔓延，保护人民生命安全和身体健康。中方愿同南非一道，落实好二十国集团领导人应对新冠肺炎特别峰会有关成果，共同推进疫情防控国际合作，维护非洲和全球公共卫生安全。　　拉马福萨表示，中方采取果断有力措施，已经控制住疫情，为其他国家树立了榜样，提供了有益借鉴。感谢中方长期以来为南非和非洲提供各种支持，特别是在当前困难时刻为南非和非洲国家抗击疫情提供宝贵援助，这对南非和非洲国家非常重要，增加了我们战胜疫情的信心。我愿同你一道努力，落实二十国集团特别峰会共识，推动全球加强团结合作。南非将继续在涉及中方核心利益的问题上支持中方，坚定推进南中和非中关系发展。　　《 人民日报 》（ 2020年04月09日   01 版）                (责编：牛镛、岳弘彬),2020年04月09日05:17  来源：,人民网－人民日报
习近平同土耳其总统埃尔多安通电话,http://politics.people.com.cn//n1/2020/0409/c1024-31666398.html,新华社北京4月8日电  国家主席习近平8日晚同土耳其总统埃尔多安通电话。　　习近平指出，当前，新冠肺炎疫情在全球蔓延，土耳其也面临严峻挑战，我代表中国政府和中国人民向土耳其政府和土耳其人民表示诚挚慰问和坚定支持。经过艰苦卓绝努力，中国人民刚刚度过了最困难时期，正在加快恢复生产生活秩序。我们重视提高医疗防疫物资生产能力，努力为全球抗疫提供尽可能多的物资保障。中方已经向土方援助了一些抗疫物资，并安排两国医疗卫生专家进行视频交流，分享抗疫经验。中方愿根据土方需要继续为土方抗疫提供帮助，并为土方在华采购医疗物资提供协助和便利。相信在总统先生领导下，土耳其一定能够战胜疫情。　　习近平强调，病毒没有国界，不分种族，国际社会只有形成合力，才能战而胜之。中土双方要密切合作，加强协调，落实二十国集团领导人应对新冠肺炎特别峰会共识，共同为国际抗疫合作贡献力量。两国应该携手努力，增进政治互信，特别是在涉及彼此核心利益和重大关切问题上相互理解、相互支持，加强发展战略对接，深化各领域务实合作，推动双边关系再上新台阶。　　埃尔多安表示，抗击新冠肺炎疫情是人类正在面临的共同战争。中国人民经过英勇努力，战胜了疫情，为世界树立了榜样。中国全力为世界生产提供医疗抗疫物资，使世界深受鼓舞。土中两国人民相互支持，彼此友谊历久弥坚。感谢中方为土方抗击疫情提供支持，并为土方在华采购医疗物资提供便利。土方希望同中方加强贸易、金融、航空等领域务实合作。祝愿疫情过后中国更加繁荣、人民更加幸福。　　《 人民日报 》（ 2020年04月09日   01 版）                (责编：牛镛、岳弘彬),2020年04月09日05:17  来源：,人民网－人民日报
中共中央政治局常务委员会召开会议 习近平主持,http://politics.people.com.cn//n1/2020/0408/c1024-31666284.html,中共中央政治局常务委员会4月8日召开会议，听取新冠肺炎疫情防控工作和全国复工复产情况调研汇报，分析国内外疫情防控和经济运行形势，研究部署落实常态化疫情防控举措、全面推进复工复产工作。中共中央总书记习近平主持会议并发表重要讲话。                (责编：杨光宇、曹昆),2020年04月08日19:12  来源：,新华社
习近平同南非总统拉马福萨通电话,http://politics.people.com.cn//n1/2020/0408/c1024-31666349.html,新华社北京4月8日电 国家主席习近平8日晚同南非总统拉马福萨通电话。	习近平指出，中国发生新冠肺炎疫情后，南非政府和社会各界以多种形式对中方表达慰问和支持。“同志加兄弟”是我们两国两党特殊友好关系的标志。中方坚定支持南非抗击疫情努力，愿根据南非需求，继续提供力所能及的帮助，同南非分享防控经验，加强医疗卫生领域合作。相信在总统先生领导下，南非政府采取一系列应对举措会取得积极成效。我们鼓励中国在南非侨民积极支持配合南非抗疫行动，希望南非政府高度重视并维护好他们生命安全和身体健康以及合法权益。中方愿同南非增进政治互信，在涉及彼此核心利益和重大关切问题上相互理解、相互支持，推动双边合作取得积极进展，加强在金砖国家、二十国集团等框架内合作。	习近平强调，中国和非洲是患难与共的好兄弟。中方密切关注非洲疫情形势，向非洲联盟和所有建交非洲国家分批提供了抗疫物资援助，双方专家开展多次视频交流，许多中国企业、地方、民间机构也积极提供抗疫物资支持。中方愿继续向非洲国家提供支持，加快推进非洲疾控中心建设，加强中非公共卫生和疾病防控合作，助力非洲提升疾病防控能力。国际社会应该秉持人类命运共同体理念，加强团结、协调、合作，坚决遏制疫情蔓延，保护人民生命安全和身体健康。中方愿同南非一道，落实好二十国集团领导人应对新冠肺炎特别峰会有关成果，共同推进疫情防控国际合作，维护非洲和全球公共卫生安全。	拉马福萨表示，中方采取果断有力措施，已经控制住疫情，为其他国家树立了榜样，提供了有益借鉴。感谢中方长期以来为南非和非洲提供各种支持，特别是在当前困难时刻为南非和非洲国家抗击疫情提供宝贵援助，这对南非和非洲国家非常重要，增加了我们战胜疫情的信心。我愿同你一道努力，落实二十国集团特别峰会共识，推动全球加强团结合作。南非将继续在涉及中方核心利益的问题上支持中方，坚定推进南中和非中关系发展。                (责编：杨光宇、曹昆),2020年04月08日22:19  来源：,新华社
习近平同土耳其总统埃尔多安通电话,http://politics.people.com.cn//n1/2020/0408/c1024-31666354.html,新华社北京4月8日电 国家主席习近平8日晚同土耳其总统埃尔多安通电话。	习近平指出，当前，新冠肺炎疫情在全球蔓延，土耳其也面临严峻挑战，我代表中国政府和中国人民向土耳其政府和土耳其人民表示诚挚慰问和坚定支持。经过艰苦卓绝努力，中国人民刚刚度过了最困难时期，正在加快恢复生产生活秩序。我们重视提高医疗防疫物资生产能力，努力为全球抗疫提供尽可能多的物资保障。中方已经向土方援助了一些抗疫物资，并安排两国医疗卫生专家进行视频交流，分享抗疫经验。中方愿根据土方需要继续为土方抗疫提供帮助，并为土方在华采购医疗物资提供协助和便利。相信在总统先生领导下，土耳其一定能够战胜疫情。	习近平强调，病毒没有国界，不分种族，国际社会只有形成合力，才能战而胜之。中土双方要密切合作，加强协调，落实二十国集团领导人应对新冠肺炎特别峰会共识，共同为国际抗疫合作贡献力量。两国应该携手努力，增进政治互信，特别是在涉及彼此核心利益和重大关切问题上相互理解、相互支持，加强发展战略对接，深化各领域务实合作，推动双边关系再上新台阶。	埃尔多安表示，抗击新冠肺炎疫情是人类正在面临的共同战争。中国人民经过英勇努力，战胜了疫情，为世界树立了榜样。中国全力为世界生产提供医疗抗疫物资，使世界深受鼓舞。土中两国人民相互支持，彼此友谊历久弥坚。感谢中方为土方抗击疫情提供支持，并为土方在华采购医疗物资提供便利。土方希望同中方加强贸易、金融、航空等领域务实合作。祝愿疫情过后中国更加繁荣、人民更加幸福。                (责编：牛镛、岳弘彬),2020年04月08日23:00  来源：,新华社
分析国内外新冠肺炎疫情防控和经济运行形势,http://politics.people.com.cn//n1/2020/0409/c1024-31666397.html,■　当前我国疫情防控阶段性成效进一步巩固，复工复产取得重要进展，经济社会运行秩序加快恢复。同时，国际疫情持续蔓延，世界经济下行风险加剧，不稳定不确定因素显著增多。我国防范疫情输入压力不断加大，复工复产和经济社会发展面临新的困难和挑战。面对严峻复杂的国际疫情和世界经济形势，我们要坚持底线思维，做好较长时间应对外部环境变化的思想准备和工作准备。要统筹推进疫情防控和经济社会发展工作，外防输入、内防反弹防控工作决不能放松，经济社会发展工作要加大力度。要坚持在常态化疫情防控中加快推进生产生活秩序全面恢复，抓紧解决复工复产面临的困难和问题，力争把疫情造成的损失降到最低限度，确保实现决胜全面建成小康社会、决战脱贫攻坚目标任务■　当前我国经济发展面临的困难加大。各级党委和政府要增强紧迫感，因地制宜、因时制宜优化完善疫情防控举措，千方百计创造有利于复工复产的条件，不失时机畅通产业循环、市场循环、经济社会循环。要加大复工复产政策落实力度，加强对困难行业和中小微企业扶持，着力扩大国内需求，有序推动各类商场、市场复工复市，促进生活服务业正常经营，积极扩大居民消费，加快推进投资项目建设，形成供需良性互动新华社北京4月8日电 中共中央政治局常务委员会4月8日召开会议，听取新冠肺炎疫情防控工作和全国复工复产情况调研汇报，分析国内外疫情防控和经济运行形势，研究部署落实常态化疫情防控举措、全面推进复工复产工作。中共中央总书记习近平主持会议并发表重要讲话。习近平指出，当前我国疫情防控阶段性成效进一步巩固，复工复产取得重要进展，经济社会运行秩序加快恢复。同时，国际疫情持续蔓延，世界经济下行风险加剧，不稳定不确定因素显著增多。我国防范疫情输入压力不断加大，复工复产和经济社会发展面临新的困难和挑战。面对严峻复杂的国际疫情和世界经济形势，我们要坚持底线思维，做好较长时间应对外部环境变化的思想准备和工作准备。要统筹推进疫情防控和经济社会发展工作，外防输入、内防反弹防控工作决不能放松，经济社会发展工作要加大力度。要坚持在常态化疫情防控中加快推进生产生活秩序全面恢复，抓紧解决复工复产面临的困难和问题，力争把疫情造成的损失降到最低限度，确保实现决胜全面建成小康社会、决战脱贫攻坚目标任务。习近平强调，要密切关注国际国内疫情形势变化，全面落实外防输入、内防反弹，及时采取更有针对性和实效性的防控措施，继续抓紧抓实抓细各项防控工作。要巩固重点地区疫情防控成效。湖北省和武汉市要继续集中力量做好重症病例科学精准救治，及时做好出院患者随访和复查工作。要优化社区管控措施，筑牢社区防控安全屏障。各地特别是环鄂省份要加强信息沟通共享和防控措施协调，在人员管控、健康码互认等方面要做到政策统一、标准一致。要持续抓好首都疫情防控工作。各地要抓好无症状感染者精准防控，把疫情防控网扎得更密更牢，堵住所有可能导致疫情反弹的漏洞。会议要求，加强陆海口岸疫情防控，加快补齐外防输入的薄弱环节。加大对边境城市疫情防控人员和物资保障力度，协调解决好在卫生检疫、防疫物资、医护力量、隔离条件等方面遇到的困难。要严格落实对所有入境人员都实施14天集中隔离的要求，最大限度减少境外输入关联本地病例。要深入开展疫情防控国际合作，积极为国际防疫合作贡献力量。会议指出，当前我国经济发展面临的困难加大。各级党委和政府要增强紧迫感，因地制宜、因时制宜优化完善疫情防控举措，千方百计创造有利于复工复产的条件，不失时机畅通产业循环、市场循环、经济社会循环。要加大复工复产政策落实力度，加强对困难行业和中小微企业扶持，着力扩大国内需求，有序推动各类商场、市场复工复市，促进生活服务业正常经营，积极扩大居民消费，加快推进投资项目建设，形成供需良性互动。会议要求，加强保障和改善民生工作。我国农业连年丰收，粮食储备充裕，完全有能力保证粮食和重要农产品供给。要抓好春季农业生产，加强粮食市场价格监测和监管，继续做好猪肉、果蔬等副食品生产流通组织，保障市场供应和价格基本稳定。要强化对困难群体基本生活保障，适当提高城乡低保、抚恤补助等保障标准，把因疫情和患病陷入困境的人员纳入救助范围，对受疫情影响严重地区发放临时生活补贴，相关价格补贴联动机制要及时启动。扩大失业保险覆盖范围，更好保障失业人员基本生活。会议强调，要抓实安全风险防范各项工作。生命至上，安全第一。各地区各部门要压实安全生产主体责任，全面做好安全生产和森林草原防火、防汛抗旱等防灾减灾工作。要深入排查各类安全隐患，完善各类应急预案，提高应急处置能力，确保人民群众生命和财产安全。会议还研究了其他事项。《 人民日报 》（ 2020年04月09日 01 版）                (责编：牛镛、岳弘彬),2020年04月09日05:17  来源：,人民网－人民日报
习近平就安全生产作出重要指示,http://politics.people.com.cn//n1/2020/0410/c1024-31669184.html,中共中央总书记、国家主席、中央军委主席习近平近日就安全生产作出重要指示强调，当前，全国正在复工复产，要加强安全生产监管，分区分类加强安全监管执法，强化企业主体责任落实，牢牢守住安全生产底线，切实维护人民群众生命财产安全。                (责编：岳弘彬),2020年04月10日13:27  来源：,新华社
部署加强边境地区疫情防控力量 扩大国内重点地区检测范围 在做好常态化防控同时全面推进复工复产,http://politics.people.com.cn//n1/2020/0410/c1024-31667975.html,新华社北京4月9日电 4月9日，中共中央政治局常委、国务院总理、中央应对新冠肺炎疫情工作领导小组组长李克强主持召开领导小组会议。　　中共中央政治局常委、中央应对新冠肺炎疫情工作领导小组副组长王沪宁出席。　　会议指出，要认真贯彻习近平总书记主持召开的中央政治局常委会会议精神，按照中央应对疫情工作领导小组部署，有针对性动态加强境外疫情输入防范，进一步完善防范境内疫情反弹的措施，巩固我国疫情防控阶段性成效，全面推进复工复产，加快推进生产生活秩序全面恢复。　　会议要求，要根据全球疫情快速蔓延的形势，及时动态调整防范疫情跨境输入的重点和应对措施，科学防控、精准施策，提高工作针对性有效性。边境省份各级党委政府要压实责任，分级分类、因地制宜动态跟进，制定和调整防控工作方案。加强点、线、面管控，实施严格的入境人员闭环管理，构建“从国门到家门”的多层次全方位防控链条，减少不必要的人员跨境流动，同时保障正常货物运输。从内地调集力量支持和加强边境地区、口岸城市医疗物资储备和检测实验室等建设，提高医疗检测和收治能力。推进与周边有关国家建立联防联控机制。要加强对我在境外公民的关心关爱，协助解决实际困难，保护他们的健康安全和合法权益。　　会议要求，要加强国际合作，继续为有关国家疫情防控提供力所能及的帮助，为他们采购防疫物资提供便利，加强出口产品质量监管，对无法提供由药监部门发放的产品注册证书或相关证明的产品不得出口。　　会议指出，目前我国疫情仍存在反弹风险，近期个别地方又出现聚集性疫情，要查找和补齐防控短板。根据检测能力的增强，抓紧在重点地区扩大核酸检测和血清抗体检测范围，提高检测率，做好流行病学调查，及时发现感染者，掌握无症状感染者状况。这是维护人民群众生命安全和身体健康的实际举措，可以减少传播风险，对被检测者和他人都是有利的。要严格落实“四早”措施，及时公开透明、实事求是发布信息。武汉市解除离汉通道管控后，要在全力加强重症患者救治的同时，继续做好群防群控、社区防控，继续减少不必要的人员聚集。各地要发挥好发热门诊监测和传染病网络直报“两张网”作用，一旦发现疫情立即按规定处置。要改进提高检测技术，加快研发抗病毒药物和疫苗。　　会议指出，在做好常态化防控同时，要积极创造有利条件推进全面复工复产，促进内需加快恢复回升，帮助各类企业特别是中小微企业渡过难关，帮助受疫情影响较大的群众解决就业、生活等方面实际困难，加大力度推动经济社会发展。　　领导小组成员丁薛祥、黄坤明、蔡奇、王毅、肖捷、赵克志参加会议。　　《 人民日报 》（ 2020年04月10日   01 版）                (责编：牛镛、岳弘彬),2020年04月10日05:41  来源：,人民网－人民日报
