日期,销量
2019-01-01,381
2019-01-02,405
2019-01-03,419
2019-01-04,412
2019-01-05,390
2019-01-06,413
2019-01-07,394
2019-01-08,398
2019-01-09,408
2019-01-10,408
2019-01-11,393
2019-01-12,402
2019-01-13,405
2019-01-14,419
2019-01-15,393
2019-01-16,399
2019-01-17,403
2019-01-18,386
2019-01-19,416
2019-01-20,384
2019-01-21,394
2019-01-22,391
2019-01-23,383
2019-01-24,386
2019-01-25,417
2019-01-26,418
2019-01-27,409
2019-01-28,382
2019-01-29,395
2019-01-30,391
2019-01-31,388
2019-02-01,395
2019-02-02,396
2019-02-03,398
2019-02-04,391
2019-02-05,387
2019-02-06,408
2019-02-07,389
2019-02-08,411
2019-02-09,418
2019-02-10,381
2019-02-11,394
2019-02-12,416
2019-02-13,394
2019-02-14,401
2019-02-15,399
2019-02-16,389
2019-02-17,409
2019-02-18,382
2019-02-19,382
2019-02-20,412
2019-02-21,400
2019-02-22,395
2019-02-23,408
2019-02-24,385
2019-02-25,403
2019-02-26,407
2019-02-27,395
2019-02-28,413
2019-03-01,408
2019-03-02,399
2019-03-03,392
2019-03-04,413
2019-03-05,415
2019-03-06,397
2019-03-07,382
2019-03-08,397
2019-03-09,413
2019-03-10,388
2019-03-11,402
2019-03-12,384
2019-03-13,386
2019-03-14,393
2019-03-15,407
2019-03-16,384
2019-03-17,391
2019-03-18,382
2019-03-19,417
2019-03-20,419
2019-03-21,411
2019-03-22,414
2019-03-23,400
2019-03-24,413
2019-03-25,394
2019-03-26,395
2019-03-27,409
2019-03-28,394
2019-03-29,418
2019-03-30,381
2019-03-31,383
2019-04-01,386
2019-04-02,413
2019-04-03,403
2019-04-04,385
2019-04-05,400
2019-04-06,419
2019-04-07,390
2019-04-08,381
2019-04-09,397
2019-04-10,398
2019-04-11,405
2019-04-12,394
2019-04-13,405
2019-04-14,391
2019-04-15,408
2019-04-16,391
2019-04-17,400
2019-04-18,398
2019-04-19,395
2019-04-20,404
2019-04-21,395
2019-04-22,400
2019-04-23,381
2019-04-24,395
2019-04-25,400
2019-04-26,402
2019-04-27,388
2019-04-28,401
2019-04-29,412
2019-04-30,411
2019-05-01,410
2019-05-02,403
2019-05-03,400
2019-05-04,413
2019-05-05,400
2019-05-06,402
2019-05-07,384
2019-05-08,412
2019-05-09,411
2019-05-10,383
2019-05-11,392
2019-05-12,415
2019-05-13,387
2019-05-14,414
2019-05-15,416
2019-05-16,382
2019-05-17,412
2019-05-18,413
2019-05-19,383
2019-05-20,392
2019-05-21,387
2019-05-22,382
2019-05-23,413
2019-05-24,400
2019-05-25,398
2019-05-26,385
2019-05-27,396
2019-05-28,413
2019-05-29,395
2019-05-30,387
2019-05-31,413
2019-06-01,404
2019-06-02,393
2019-06-03,406
2019-06-04,386
2019-06-05,417
2019-06-06,414
