category,title,price,nums,name,brand,symptoms,type
补肾壮阳,汇仁 肾宝片 126片 调和阴阳温阳补肾扶正固本 男女同补补肾中成药品,322.00,400000,汇仁肾宝片 0.7g*126片,汇仁,畏寒怕冷,阴阳亏虚
补肾壮阳,汇仁 肾宝片 126片 肾虚肾亏补肾中药肾气丸滋阴壮阳 推荐2盒1疗程,322.00,400000,汇仁0.7g*126片,汇仁,畏寒怕冷,肾阳虚，阴阳亏虚
风湿骨外伤,白云山 陈李济 舒筋健腰丸45g*10瓶 补益肝肾 强健筋骨 驱风除湿 活络止痛,890.00,57000,陈李济舒筋健腰丸45g*10瓶,陈李济,腰痛,腰椎间盘突出
补肾壮阳,同仁堂 六味地黄丸（浓缩丸）300丸 （男女肾虚肾亏中药品滋阴补肾）六味地黄丸,49.50,840000,同仁堂300丸 每8丸重1.44克,同仁堂（TRT）,空,肾阴亏
补肾壮阳,汇仁 肾宝片礼盒装 126片*4盒礼盒装温阳补肾肾虚肾亏京东自营旗舰店,1188.00,32000,汇仁肾宝片礼盒装 126片*4盒,汇仁,腰膝酸软,肾阳虚，肾阴亏
补肾壮阳,九芝堂 六味地黄丸（浓缩丸）618丸 滋阴补肾腰膝酸软遗精男女药六位滋补药品,49.90,690000,九芝堂九芝堂 六味地黄丸 618丸 滋阴补肾,九芝堂,腰膝酸软,肾阴亏
补肾壮阳,成博士 参花消渴茶 60袋 滋阴补肾 益气生津 适用于Ⅱ型糖尿病,495.00,10000,成博士3g*60袋,成博士,空,空
补肾壮阳,同仁堂 五子衍宗丸 60g/瓶 肾虚精亏所致的阳痿不育遗精早泄腰痛尿后余沥 北京同仁堂,26.00,460000,同仁堂60g*1瓶/盒,同仁堂（TRT）,腰痛,阳痿不育
补肾壮阳,【大包装，更优惠】汇仁 肾宝片 126片*4盒 调和阴阳 温阳补肾 高端木质礼盒装 2个疗程,1188.00,32000,汇仁126片*4盒,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,【试用装】汇仁 肾宝片 45片 肾虚肾亏补肾中药肾气丸滋阴壮阳,125.00,150000,汇仁肾宝片,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,同仁堂 锁阳固精丸 9克*10丸 补肾固精腰膝酸软遗精早泄 北京同仁堂,28.00,460000,同仁堂9克*10丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣,遗精早泄
风湿骨外伤,葛洪 桂龙药膏202g*6瓶 祛风除湿舒筋活络温肾补血用于风湿骨痛 慢性腰腿痛 6瓶礼盒装,1290.00,11000,葛洪桂龙药膏 202g*6瓶,葛洪,风湿骨痛,风湿骨痛
补肾壮阳,九芝堂 六味地黄丸（浓缩丸）360丸 滋阴补肾 腰膝酸软遗精 男女滋补药六位药品,32.80,690000,九芝堂360丸,九芝堂,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,仲景 六味地黄丸(浓缩丸)360丸*2瓶/盒 中药滋阴补肾虚亏壮阳腰膝酸软男女六位药 推荐3盒1疗程,58.00,210000,仲景六味地黄丸,仲景,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,济民可信金水宝胶囊72粒 治疗阳痿早泄肾虚 补益肺肾 腰膝痠软 中药 虫草菌粉CS-4,58.00,140000,济民可信济民可信 金水宝胶囊 9粒*8板,济民可信,空,其它
补肾壮阳,金水宝胶囊 108粒 补益肺肾 腰膝痠软 药品 虫草菌粉CS-4,88.00,140000,济民可信金水宝胶囊9粒*12板,济民可信,空,其它
补肾壮阳,汇仁 肾宝片 45片 汇仁旗舰店温阳补肾 腰腿酸软,125.00,150000,汇仁汇仁 肾宝片 45片,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,同仁堂 六味地黄丸(浓缩丸)120丸 肾阴虚滋阴补肾耳鸣腰膝酸软遗精六位药 北京同仁堂,19.80,840000,同仁堂120丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,阿房宫 虫草双参酒 500ml 腰膝酸软 益气活血 补肾健脾,495.00,1700,阿房宫虫草双参酒 500ml,阿房宫,腰膝酸软，神疲乏力,其它
补肾壮阳,古汉 养生精口服液10ml*30支 补气滋阴补肾失眠健脑益肾安神补脑疲乏无力,79.00,31000,古汉10ml/支*30支,古汉,头晕耳鸣,空
补肾壮阳,前列康 康恩贝 普乐安胶囊 0.375g*120粒 用于前列腺疾病引起的尿不尽尿滴沥 肾气不固腰膝酸软 油菜蜂花粉,67.00,390000,前列康前列康 普乐安胶囊0.375g*120粒,前列康,空,空
补肾壮阳,太极五子衍宗丸(浓缩丸) 120丸 补肾早泄阳痿遗精,60.00,100000,太极120丸,太极,腰痛,肾阳虚
补肾壮阳,同仁堂 六味地黄软胶囊 60粒/瓶 滋阴补肾六味地黄丸药品 北京同仁堂,45.00,840000,同仁堂六味地黄软胶囊 60粒,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗，耳鸣,肾阴亏
补肾壮阳,京果 海狗丸 0.2g*120丸 温肾助阳 用于肾阳虚引起的腰膝酸软 神疲乏力 肢体困倦 怕冷 夜尿频多 气短作喘,62.00,27000,京果0.2g*120丸,京果,腰膝酸软,肾阳虚
补肾壮阳,同仁堂 五子衍宗丸 9g*10丸 补肾益精阳痿不育遗精早泄药 北京同仁堂,28.00,460000,同仁堂五子衍宗丸9克*10丸,同仁堂（TRT）,腰痛，尿后余淋,阳痿不育
补肾壮阳,前列康 康恩贝 普乐安片 0.57g*150片 补肾固本腰膝酸软尿后余沥,36.00,390000,前列康前列康 普乐安片 0.57g*150片,前列康,空,空
补肾壮阳,同仁堂 人参鹿茸丸 9g*10丸 肾精不足 气血两亏 腰腿酸软 北京同仁堂,338.00,460000,同仁堂人参鹿茸丸 9g*10丸,同仁堂（TRT）,空,空
补肾壮阳,济民可信 金水宝胶囊90粒*3小盒 30周年礼盒装 虫草菌粉 补肾益肺养精气,268.00,140000,济民可信金水宝胶囊 0.33g*9粒*10板*3小盒/大盒,济民可信,空,其它
