title,detail_url,timeShow,platformName
202004六合新城西陈路工程项目施工招标文件.NZF,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/23/003221ebcaaa498c4ec9bf9a9873084c69ac.shtml,2020-04-28,南京市国有产权交易系统
微山县人民医院医养结合综合体项目监理招标文件,http://www.ggzy.gov.cn/information/html/a/370000/0105/202004/09/003755009452b5ec401b8d33358036b33c97.shtml,2020-04-28,济宁市公共资源交易服务平台
202004AJY200011-04SG招标文件电子版.NZF,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/23/00324eab106c0f714ac9b422fbde6f7b49a7.shtml,2020-04-28,南京市国有产权交易系统
三里坪等四座水库旅游渡运码头采购安装项目成交结果公,http://www.ggzy.gov.cn/information/html/a/420000/0202/202004/13/0042d1e5152c580649928721129e223a8b81.shtml,2020-04-28,湖北省政府采购网
仪征市月塘镇西区综合服务中心改造工程招标澄清文件,http://www.ggzy.gov.cn/information/html/a/320000/0105/202004/28/003259fd64192f3b4aaaa246082905727a7e.shtml,2020-04-28,扬州市建设工程网上招投标系统
仪征市月塘镇西区综合服务中心改造工程招标公告,http://www.ggzy.gov.cn/information/html/a/320000/0101/202004/28/003207b4205879804c55bf26443b4eb77979.shtml,2020-04-28,扬州市建设工程网上招投标系统
华泰广厦商住小区电梯工程-招标文件2020.04.10(1),http://www.ggzy.gov.cn/information/html/a/430000/0105/202004/28/0043263b4ecdcd2d40ec9c5b684a7e773a35.shtml,2020-04-28,
涟水监理更正公告,http://www.ggzy.gov.cn/information/html/a/430000/0105/202004/16/004355fa1f3e2a42498e861d631338996456.shtml,2020-04-28,
兴港综合楼会议室多媒体设备、食堂设备及会议室家具（含接待室）采购合同,http://www.ggzy.gov.cn/information/html/a/450000/0203/202004/28/0045c646bccde43d410a8a7538057aa475d9.shtml,2020-04-28,贵港市公共资源交易平台
南彩镇道路清扫保洁服务项目合同,http://www.ggzy.gov.cn/information/html/a/110000/0203/202004/28/00116fc89a5d3fb94f5e892f76444afdf2c0.shtml,2020-04-28,
兴港综合楼会议室多媒体设备、食堂设备及会议室家具（含接待室）采购合同,http://www.ggzy.gov.cn/information/html/a/450000/0203/202004/28/0045c2c526032b9149be9b3e5a7098908f0e.shtml,2020-04-28,贵港市公共资源交易平台
浙江中瑞工程管理有限公司关于慈溪家电科技城会展中心视频监控系统改造采购项目的公开招标公告,http://www.ggzy.gov.cn/information/html/a/330000/9001/202004/28/003347b7d4dc49ae4fac809bc39979a0106d.shtml,2020-04-28,宁波市公共资源网上交易暨电子检察系统
