标题,链接,发布时间,薪资待遇,学历,公司名称,福利待遇,公司说明
Python开发工程师,https://www.lagou.com/jobs/6972269.html?show=43cab5831ed04df085f922ebdd96c614,09:18发布,20k-40k,经验3-5年 / 本科,联盟智能社区,"企业服务,人工智能 / B轮 / 150-500人",“公司大牛多、氛围浓厚”
python开发,https://www.lagou.com/jobs/6435258.html?show=43cab5831ed04df085f922ebdd96c614,09:15发布,15k-20k,经验3-5年 / 本科,缔联科技,"企业服务,人工智能 / B轮 / 150-500人",“六险一金 下午茶 弹性时间”
python,https://www.lagou.com/jobs/6941072.html?show=43cab5831ed04df085f922ebdd96c614,09:13发布,12k-24k,经验3-5年 / 本科,易宝软件科技（南京）有限公司,"企业服务,人工智能 / B轮 / 150-500人",“发现空间，平台背景”
python,https://www.lagou.com/jobs/6936145.html?show=43cab5831ed04df085f922ebdd96c614,09:03发布,13k-25k,经验3-5年 / 本科,易宝软件科技（南京）有限公司,"企业服务,人工智能 / B轮 / 150-500人",“五险一金”
Python开发工程师,https://www.lagou.com/jobs/4768763.html?show=43cab5831ed04df085f922ebdd96c614,09:17发布,9k-15k,经验1-3年 / 本科,森果,"企业服务,人工智能 / B轮 / 150-500人",“项目奖金，行业top，提供mac”
python开发工程师,https://www.lagou.com/jobs/5743121.html?show=43cab5831ed04df085f922ebdd96c614,09:12发布,15k-24k,经验3-5年 / 本科,普特生物医学,"企业服务,人工智能 / B轮 / 150-500人","“周末双休,五险一金,带薪年假,地铁沿线”"
python,https://www.lagou.com/jobs/6961523.html?show=43cab5831ed04df085f922ebdd96c614,09:11发布,13k-18k,经验5-10年 / 本科,海万科技,"企业服务,人工智能 / B轮 / 150-500人",“每年旅游&体检、过节费”
python开发工程师,https://www.lagou.com/jobs/6806565.html?show=43cab5831ed04df085f922ebdd96c614,09:11发布,17k-23k,经验3-5年 / 不限,微创软件,"企业服务,人工智能 / B轮 / 150-500人",“年终奖 六险一金 班车 项目奖金”
Python工程师,https://www.lagou.com/jobs/3223944.html?show=43cab5831ed04df085f922ebdd96c614,09:23发布,13k-20k,经验3-5年 / 本科,紫川软件,"企业服务,人工智能 / B轮 / 150-500人",“五险一金 员工旅游 周末双休”
python开发工程师,https://www.lagou.com/jobs/6282035.html?show=43cab5831ed04df085f922ebdd96c614,09:17发布,12k-20k,经验3-5年 / 本科,博云,"企业服务,人工智能 / B轮 / 150-500人",“六险一金，年度旅游体检，补助，带薪培训”
Python开发工程师,https://www.lagou.com/jobs/6709836.html?show=43cab5831ed04df085f922ebdd96c614,09:14发布,8k-12k,经验3-5年 / 大专,863软件,"企业服务,人工智能 / B轮 / 150-500人",“周末双休、五险一金、带薪年假、餐补、交补”
python开发工程师,https://www.lagou.com/jobs/6975676.html?show=43cab5831ed04df085f922ebdd96c614,09:12发布,15k-25k,经验3-5年 / 本科,嘉和美康,"企业服务,人工智能 / B轮 / 150-500人","“五险一金,带薪年假,定期体检,补充医疗”"
python开发,https://www.lagou.com/jobs/6972995.html?show=43cab5831ed04df085f922ebdd96c614,09:11发布,10k-15k,经验3-5年 / 本科,博悦科创,"企业服务,人工智能 / B轮 / 150-500人",“五险一金 年度体检 年度旅游 带薪年假”
python,https://www.lagou.com/jobs/6929781.html?show=43cab5831ed04df085f922ebdd96c614,09:06发布,10k-13k,经验3-5年 / 大专,云间网络,"企业服务,人工智能 / B轮 / 150-500人",“驻场公司 创始团队阿里背景”
Python开发工程师,https://www.lagou.com/jobs/6949183.html?show=43cab5831ed04df085f922ebdd96c614,09:23发布,12k-20k,经验3-5年 / 本科,金数据,"企业服务,人工智能 / B轮 / 150-500人",“五险一金 技术大牛 极客精神”
